,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery,NEM3 LSC,
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh),(mult)
1,1,12, 01/01 12,0,0,0.147841,0,0,1.75424,0,1.33088,7.3106,0.171058,0,1.90208,10.7146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76842,1269.81,1106.78,2.70532,89.9626,100,0.000143139,0.0060051,0.006288,0,-9.77442,0,1.84178,
1,1,13, 01/01 13,0,0,0.147841,0,0,1.45979,0,1.31879,0.816046,0.143689,0,1.60763,3.88616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76476,1269.81,1106.78,2.82681,89.9626,100,0.000149566,0.0060051,0.006288,0,-9.50515,0,1.8389,
1,1,14, 01/01 14,0,0,0.147841,0,0,0.301096,0,1.35906,0.797657,0.143689,0,0.448937,2.74934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7652,1269.81,1106.78,2.88089,89.9626,100,0.000152428,0.0060051,0.006288,0,-5.82926,0,1.83925,
1,1,15, 01/01 15,0,0,0.147841,0,0,0,0,1.42556,0.808885,0.143689,0,0.147841,2.52597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76532,1269.81,1106.78,2.92757,89.9626,100,0.000154898,0.0060051,0.006288,0,-4.77956,0,1.83935,
1,1,16, 01/01 16,0,0,0.147841,0,0,0,0,1.49922,0.859281,0.177901,0,0.147841,2.68425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06237,1269.81,1106.78,3.29537,89.9626,100,0.000174358,0.0060051,0.006288,0,-2.92382,0,2.07264,
1,1,17, 01/01 17,0,0,0.147841,0,0,0.0519887,0,1.68241,0.985462,0.212113,0,0.19983,3.07982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35764,1269.81,1106.78,3.86875,89.9626,100,0.000204695,0.0060051,0.006288,0,-0.355207,0,2.30455,
1,1,18, 01/01 18,0,0,0.147841,0,0,0.454546,0,1.89695,1.30338,0.301063,0,0.602387,4.10378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.40918,1269.81,1106.78,3.94448,89.9626,100,0.000208702,0.0060051,0.006288,0,0,0,2.34502,
1,1,19, 01/01 19,0,0,0.147841,0,0,0.817833,0,2.03865,1.28251,0.574758,0,0.965675,4.8616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51492,1269.81,1106.78,4.16914,89.9626,100,0.000220589,0.0060051,0.006288,0,0,0,2.42807,
1,1,20, 01/01 20,0,0,0.147841,0,0,0.976985,0,2.11929,1.65161,0.800555,0,1.12483,5.69629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60367,1269.81,1106.78,4.37739,89.9626,100,0.000231608,0.0060051,0.006288,0,0,0,2.49777,
1,1,21, 01/01 21,0,0,0.147841,0,0,1.55348,0,2.19655,0.928173,0.773183,0,1.70132,5.59923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59307,1269.81,1106.78,4.33943,89.9626,100,0.000229599,0.0060051,0.006288,0,0,0,2.48944,
1,1,22, 01/01 22,0,0,0.147841,0,0,1.55553,0,2.17607,2.72644,0.656865,0,1.70337,7.26275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69524,1269.81,1106.78,4.51762,89.9626,100,0.000239027,0.0060051,0.006288,0,0,0,2.56969,
1,1,23, 01/01 23,0,0,0.147841,0,0,1.61134,0,1.94545,0.469753,0.431067,0,1.75918,4.60545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.37868,1269.81,1106.78,4.52964,89.9626,100,0.000239663,0.0060051,0.006288,0.000277533,0,0,3.10645,
1,1,24, 01/01 24,0,0,0.147841,0,0,1.24611,0,1.65907,0.455196,0.266851,0,1.39395,3.77506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.45012,1269.81,1106.78,4.53692,89.9626,100,0.000240048,0.0060051,0.006288,0.000718441,0,0,3.94794,
1,2,1, 01/02 01,0,0,0.147841,0,0.0621966,0.134627,0,1.35815,0.404129,0.157374,0,0.344665,2.26432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4923,1269.81,1106.78,8.44344,89.9626,100,0.000446742,0.0060051,0.006288,0.000518385,0,0,5.55184,
1,2,2, 01/02 02,0,0,0.147841,0,0.0621966,0,0,1.23878,0.389905,0.130004,0,0.210038,1.96873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5695,1269.81,1106.78,8.43068,89.9626,100,0.000446067,0.0060051,0.006288,0.000175212,0,0,4.8271,
1,2,3, 01/02 03,0,0,0.147841,0,0.0621966,0,0,1.19145,0.376606,0.102635,0,0.210038,1.88073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1615,1269.81,1106.78,8.07648,89.9626,100,0.000427327,0.0060051,0.006288,0.000173941,0,0,4.50669,
1,2,4, 01/02 04,0,0,0.147841,0,0.0621966,0,0,1.18438,0.37091,0.11632,0,0.210038,1.88164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86281,1269.81,1106.78,5.75461,89.9626,100,0.000304476,0.0060051,0.006288,0.000305397,0,0,3.48668,
1,2,5, 01/02 05,0,0,0.147841,0,0.0621966,0,0,1.12854,0.358786,0.143689,0,0.210038,1.84106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.47133,1269.81,1106.78,4.70149,89.9626,100,0.000248756,0.0060051,0.006288,0.000305397,0,0,3.17922,
1,2,6, 01/02 06,0,0,0.147841,0,0.0621966,0,0,1.22259,0.427916,0.212113,0,0.210038,2.07266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85023,1269.81,1106.78,5.73985,89.9626,100,0.000303695,0.0060051,0.006288,0.000305397,0,0,3.4768,
1,2,7, 01/02 07,0,0,0.147841,0,0.0621966,0,0,1.39369,0.506049,0.287378,0,0.210038,2.39716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6686,1269.81,1106.78,7.50866,89.9626,100,0.000397283,0.0060051,0.006288,0.000705071,0,0,4.90494,
1,2,8, 01/02 08,0,0,0.147841,0,0.0621966,0.383722,0,1.49912,0.585231,0.280536,0,0.59376,2.95865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.60515,1269.81,1106.78,6.16084,89.9626,100,0.00032597,0.0060051,0.006288,0.000176325,-0.0340126,0,3.28432,
1,2,9, 01/02 09,0.110547,0,0.168895,0,0.150911,1.25339,0,1.3898,0.576585,0.23264,0,1.68374,3.88277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49882,1269.81,1106.78,5.20798,89.9626,100,0.000275554,0.0060051,0.006288,0,-0.805243,0,2.41543,
1,2,10, 01/02 10,0.181209,0,0.182554,0,0.0887147,2.21038,0,1.30466,0.516457,0.198428,0,2.66285,4.6824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4775,1269.81,1106.78,5.20583,89.9626,100,0.00027544,0.0060051,0.006288,0,-0.85445,0,2.39868,
1,2,11, 01/02 11,0.164285,0,0.179263,0,0.0887147,2.09389,0,1.32012,1.26638,0.184743,0,2.52616,5.29741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47671,1269.81,1106.78,5.22056,89.9626,100,0.00027622,0.0060051,0.006288,0,-1.14171,0,2.39806,
1,2,12, 01/02 12,0.0588435,0,0.158983,0,0.0887147,1.50697,0,1.32012,1.75503,0.171058,0,1.81351,5.05972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47253,1269.81,1106.78,4.12507,89.9626,100,0.000218257,0.0060051,0.006288,0,-1.39498,0,2.39477,
1,2,13, 01/02 13,0.128688,0,0.17237,0,0.0887147,0.820552,0,1.32217,0.811628,0.143689,0,1.21033,3.48782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46866,1269.81,1106.78,4.06489,89.9626,100,0.000215074,0.0060051,0.006288,0,-1.48389,0,2.39174,
1,2,14, 01/02 14,0.217736,0,0.189702,0,0.0887147,0.95574,0,1.35189,0.575909,0.143689,0,1.45189,3.52338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47764,1269.81,1106.78,4.09321,89.9626,100,0.000216572,0.0060051,0.006288,0,-0.737417,0,2.39879,
1,2,15, 01/02 15,0.240615,0,0.194195,0,0.148877,1.0119,0,1.40086,0.597002,0.143689,0,1.59559,3.73715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48356,1269.81,1106.78,4.08768,89.9626,100,0.000216279,0.0060051,0.006288,0,-0.82597,0,2.40344,
1,2,16, 01/02 16,0.196065,0,0.185427,0,0.148659,0.5988,0,1.44256,0.966452,0.177901,0,1.12895,3.71586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7661,1269.81,1106.78,4.78592,89.9626,100,0.000253223,0.0060051,0.006288,0,-0.332133,0,2.62534,
1,2,17, 01/02 17,0.197981,0,0.185617,0,0.149068,0.455794,0,1.62943,3.28,0.212113,0,0.98846,6.11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33289,1269.81,1106.78,6.19968,89.9626,100,0.000328025,0.0060051,0.006288,0,-0.021622,0,3.07049,
1,2,18, 01/02 18,0.226206,0,0.191161,0,0.148906,0.4798,0,1.87574,1.60581,0.301063,0,1.04607,4.82868,1.44548,0,0,0,0,0,0,0,0,0,0,1.44548,1.44548,0,0,0,0,0,0,0,0,0,0,0,0,0,8.82542,1269.81,1106.78,7.16031,89.9626,100,0.000378852,0.0060051,0.006288,0,0,0,3.45732,
1,2,19, 01/02 19,0.110068,0,0.168766,0,0.148713,0.505627,0,2.04213,1.56789,0.574758,0,0.933174,5.11795,0.827191,0,0,0,0,0,0,0,0,0,0,0.827191,0.827191,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7605,1269.81,1106.78,8.51113,89.9626,100,0.000450324,0.0060051,0.006288,0.000284725,0,0,4.97713,
