,,,,Nonres Site Electric Use,,,,,,,,,,,,,Nonres Site Natural Gas Use,,,,,,,,,,,,,Nonres Site Propane Use,,,,,,,,,,,,,Nonres LSC Multipliers,,,Nonres Source Energy Multipliers,,,Nonres CO2 Emissions Multipliers,,,Nonres Elec Demand,Building Wide,,,PV/Batt Mults (Res/NRes area weighted avg),,,,Residential Site Electric Use,,,,,,,,,,,,,Residential Site Natural Gas Use,,,,,,,,,,,,,Residential Site Propane Use,,,,,,,,,,,,,Res LSC Multipliers,,,Res Source Energy Multipliers,,,Res CO2 Emissions Multipliers,,,Res Elec Demand,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery,NEM3 LSC,LSC,Source Energy,CO2 Emis,Elec Demand,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh),(mult),($/kWh),(kBtu/kWh),(tonnes CO2-e/kWh),(frac),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),
1,1,9, 01/01 09,0,0,4.50354,0,0.36533,1.22112,1.50171,1.7613,0,0,0,7.5917,9.353,162.868,0,0,0,0,0,0,0,0,0,0,162.868,162.868,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68693,626.966,894.518,2.68137,89.9626,100,0.000141871,0.0054633,0.006288,0,-87.7872,0,1.83612,6.59324,2.68137,0.000141871,0,1.77058,0,7.60924,0,1.79086,41.0135,7.8023,15.747,25.215,2.52836,7.32383,59.9865,110.801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76122,1269.81,1106.78,2.68137,89.9626,100,0.000141871,0.0060051,0.006288,0,
1,1,10, 01/01 10,0,0,4.10786,0,0.36533,1.39718,1.53498,1.7613,0,0,0,7.40534,9.16664,143.373,0,0,0,0,0,0,0,0,0,0,143.373,143.373,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68395,626.966,894.518,2.3791,89.9626,100,0.000125878,0.0054633,0.006288,0,-134.742,0,1.83385,6.59033,2.3791,0.000125878,0,1.15683,0,7.60448,0,0.0428193,33.7805,7.8023,15.1699,38.6088,2.15654,7.32383,50.3869,113.646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75832,1269.81,1106.78,2.3791,89.9626,100,0.000125878,0.0060051,0.006288,0,
1,1,11, 01/01 11,0,0,4.10786,0,0.36533,2.97216,6.15297,7.0452,0,0,0,13.5983,20.6435,96.9614,0,0,0,0,0,0,0,0,0,0,96.9614,96.9614,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68678,626.966,894.518,2.83208,89.9626,100,0.000149846,0.0054633,0.006288,0,-164.084,34.2403,1.83601,6.5931,2.83208,0.000149846,0,0.614673,0,7.59813,0,0,7.37396,7.93725,15.4705,60.9048,2.00781,7.32383,23.524,109.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76108,1269.81,1106.78,2.83208,89.9626,100,0.000149846,0.0060051,0.006288,0,
1,1,12, 01/01 12,0,0,4.10786,0,0.36533,3.2348,6.16232,7.0452,0,0,0,13.8703,20.9155,79.0589,0,0,0,0,0,0,0,0,0,0,79.0589,79.0589,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69432,626.966,894.518,2.70532,89.9626,100,0.000143139,0.0054633,0.006288,0,-175.051,23.6669,1.84178,6.60047,2.70532,0.000143139,0,0.320434,0,7.59911,0,0,39.0595,7.93725,15.2361,51.1703,1.85908,7.32383,54.9163,130.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76842,1269.81,1106.78,2.70532,89.9626,100,0.000143139,0.0060051,0.006288,0,
1,1,13, 01/01 13,0,0,4.10786,0,0.36533,3.6054,8.35248,10.5678,0,0,0,16.4311,26.9989,27.7652,0,0,0,0,0,0,0,0,0,0,27.7652,27.7652,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69056,626.966,894.518,2.82681,89.9626,100,0.000149566,0.0054633,0.006288,0,-170.229,40.7343,1.8389,6.59679,2.82681,0.000149566,0,0.116336,0,7.59828,0,0,21.5982,8.17118,15.5726,40.5849,1.56163,7.32383,37.484,102.527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76476,1269.81,1106.78,2.82681,89.9626,100,0.000149566,0.0060051,0.006288,0,
1,1,14, 01/01 14,0,0.0813808,4.10786,0,0.36533,3.57713,8.20336,10.5678,0,0,0,16.3351,26.9029,15.7983,0,0,0,0,0,0,0,0,0,0,15.7983,15.7983,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69101,626.966,894.518,2.88089,89.9626,100,0.000152428,0.0054633,0.006288,0,-104.397,4.1163,1.83925,6.59724,2.88089,0.000152428,0,0.0581626,0,7.59813,0,0,1.39073,8.17118,16.0116,31.2866,1.56163,7.32383,17.2182,73.4018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7652,1269.81,1106.78,2.88089,89.9626,100,0.000152428,0.0060051,0.006288,0,
1,1,15, 01/01 15,0,0.325553,4.10786,0,0.36533,3.44402,8.32097,10.5678,0,0,0,16.5637,27.1315,10.3789,0,0,0,0,0,0,0,0,0,0,10.3789,10.3789,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69114,626.966,894.518,2.92757,89.9626,100,0.000154898,0.0054633,0.006288,0,-85.5976,0,1.83935,6.59736,2.92757,0.000154898,0,0.0228865,0,7.59813,0,0,16.0512,8.17118,16.7368,19.5878,1.56163,7.32383,31.8434,77.0534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76532,1269.81,1106.78,2.92757,89.9626,100,0.000154898,0.0060051,0.006288,0,
1,1,16, 01/01 16,0,0,4.10786,0,0.36533,3.5096,8.23629,10.5678,0,0,0,16.2191,26.7869,7.63613,0,0,0,0,0,0,0,0,0,0,7.63613,7.63613,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99593,626.966,894.518,3.29537,89.9626,100,0.000174358,0.0054633,0.006288,0,-52.3629,0,2.07264,6.89562,3.29537,0.000174358,0,0.056808,0,7.59813,0,0,11.2992,8.17118,17.5396,16.4093,1.93345,7.32383,27.1253,70.3315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06237,1269.81,1106.78,3.29537,89.9626,100,0.000174358,0.0060051,0.006288,0,
1,1,17, 01/01 17,0,0,4.10786,0,0.36533,3.64885,9.10096,10.5678,0,0,0,17.223,27.7908,9.3087,0,0,0,0,0,0,0,0,0,0,9.3087,9.3087,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29891,626.966,894.518,3.86875,89.9626,100,0.000204695,0.0054633,0.006288,0,-6.36147,0,2.30455,7.1921,3.86875,0.000204695,0,0.17226,0,7.59813,0,0,11.6055,8.17118,19.5349,29.5602,2.30527,7.32383,27.547,86.2712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35764,1269.81,1106.78,3.86875,89.9626,100,0.000204695,0.0060051,0.006288,0,
1,1,18, 01/01 18,0,0,4.10786,0,0.36533,3.44516,6.69294,7.0452,0,0,0,14.6113,21.6565,56.3884,0,0,0,0,0,0,0,0,0,0,56.3884,56.3884,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35179,626.966,894.518,3.94448,89.9626,100,0.000208702,0.0054633,0.006288,0,0,0,2.34502,7.24384,3.94448,0.000208702,0,0.312569,0,7.59813,0,0,17.6535,8.10371,21.7804,37.9117,3.27199,7.32383,33.6679,103.956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.40918,1269.81,1106.78,3.94448,89.9626,100,0.000208702,0.0060051,0.006288,0,
