"MF88 Individual Supply + Individual Exhaust (ERV, WSHP)  /  Proposed  /  EX03_MF88_Central-WSHP_CZ09.cibd25x",002
"Wed 23-Sep-26   1:44:07 pm"
"x-ldPass","Hour"
"Month","Day","Hr","CW Loop-HtgLd (Btu)","ClgLd (Btu)","NetLd (Btu)","DemFlw (gpm)","ActualFlw (gpm)","NetLd (W)","FlowFrac"
1,5,17,0,-5635.91,-5635.91,1.12675,698.198,-1651.79,0.0440448
1,5,18,0,0,0,0,698.198,0,0
1,5,19,0,0,0,0,698.198,0,0
1,5,20,0,0,0,0,698.198,0,0
1,5,21,0,0,0,0,698.198,0,0
1,5,22,0,0,0,0,698.198,0,0
1,5,23,0,0,0,0,698.198,0,0
1,5,24,0,0,0,0,698.198,0,0
1,6,1,0,0,0,0,698.198,0,0
1,6,2,0,0,0,0,698.198,0,0
1,6,3,0,0,0,0,698.198,0,0
1,6,4,0,0,0,0,698.198,0,0
1,6,5,0,0,0,0,698.198,0,0
1,6,6,0,0,0,0,698.198,0,0
1,6,7,0,0,0,0,698.198,0,0
1,6,8,0,0,0,0,698.198,0,0
1,6,9,0,0,0,0,698.198,0,0
1,6,10,0,0,0,0,698.198,0,0
1,6,11,0,-5063.18,-5063.18,1.01225,698.198,-1483.93,0.0440448
1,6,12,0,-27790.8,-27790.8,5.55604,698.198,-8145,0.0440448
1,6,13,0,-23095.1,-23095.1,4.61727,698.198,-6768.79,0.0440448
1,6,14,0,-30679.2,-30679.2,6.13351,698.198,-8991.56,0.0440448
1,6,15,0,-26166.6,-26166.6,5.23133,698.198,-7668.99,0.0440448
1,6,16,0,-42226,-42226,8.44199,698.198,-12375.7,0.0440448
1,6,17,0,-35148.6,-35148.6,7.02704,698.198,-10301.5,0.0440448
1,6,18,0,-5096.31,-5096.31,1.01887,698.198,-1493.64,0.0440448
1,6,19,0,0,0,0,698.198,0,0
1,6,20,0,0,0,0,698.198,0,0
1,6,21,0,0,0,0,698.198,0,0
1,6,22,0,0,0,0,698.198,0,0
1,6,23,0,0,0,0,698.198,0,0
1,6,24,0,0,0,0,698.198,0,0
1,7,1,0,-80.9451,-80.9451,0.0161829,698.198,-23.7236,0.0440448
1,7,2,0,0,0,0,698.198,0,0
1,7,3,0,0,0,0,698.198,0,0
1,7,4,0,0,0,0,698.198,0,0
1,7,5,0,0,0,0,698.198,0,0
1,7,6,0,0,0,0,698.198,0,0
1,7,7,0,0,0,0,698.198,0,0
1,7,8,0,0,0,0,698.198,0,0
1,7,9,0,0,0,0,698.198,0,0
1,7,10,0,0,0,0,698.198,0,0
1,7,11,0,0,0,0,698.198,0,0
1,7,12,0,0,0,0,698.198,0,0
1,7,13,0,0,0,0,698.198,0,0
1,7,14,0,0,0,0,698.198,0,0
1,7,15,0,0,0,0,698.198,0,0
1,7,16,0,-9058.11,-9058.11,1.81093,698.198,-2654.78,0.0440448
1,7,17,0,0,0,0,698.198,0,0
1,7,18,0,0,0,0,698.198,0,0
1,7,19,0,0,0,0,698.198,0,0
1,7,20,0,0,0,0,698.198,0,0
1,7,21,0,0,0,0,698.198,0,0
1,7,22,0,0,0,0,698.198,0,0
1,7,23,0,0,0,0,698.198,0,0
1,7,24,0,0,0,0,698.198,0,0
1,8,1,0,0,0,0,698.198,0,0
1,8,2,0,0,0,0,698.198,0,0
1,8,3,0,0,0,0,698.198,0,0
1,8,4,0,0,0,0,698.198,0,0
1,8,5,0,0,0,0,698.198,0,0
1,8,6,0,0,0,0,698.198,0,0
1,8,7,0,0,0,0,698.198,0,0
1,8,8,0,0,0,0,698.198,0,0
1,8,9,0,0,0,0,698.198,0,0
1,8,10,0,0,0,0,698.198,0,0
1,8,11,0,0,0,0,698.198,0,0
1,8,12,0,0,0,0,698.198,0,0
1,8,13,0,0,0,0,698.198,0,0
1,8,14,0,0,0,0,698.198,0,0
1,8,15,0,0,0,0,698.198,0,0
1,8,16,0,0,0,0,698.198,0,0
1,8,17,0,0,0,0,698.198,0,0
1,8,18,0,0,0,0,698.198,0,0
1,8,19,0,0,0,0,698.198,0,0
1,8,20,0,0,0,0,698.198,0,0
1,8,21,0,0,0,0,698.198,0,0
1,8,22,0,0,0,0,698.198,0,0
1,8,23,0,0,0,0,698.198,0,0
1,8,24,0,0,0,0,698.198,0,0
1,9,1,0,0,0,0,698.198,0,0
1,9,2,0,0,0,0,698.198,0,0
1,9,3,0,0,0,0,698.198,0,0
1,9,4,0,0,0,0,698.198,0,0
1,9,5,0,0,0,0,698.198,0,0
1,9,6,0,0,0,0,698.198,0,0
1,9,7,0,0,0,0,698.198,0,0
1,9,8,0,0,0,0,698.198,0,0
1,9,9,0,0,0,0,698.198,0,0
1,9,10,0,0,0,0,698.198,0,0
1,9,11,0,0,0,0,698.198,0,0
1,9,12,0,0,0,0,698.198,0,0
1,9,13,0,0,0,0,698.198,0,0
1,9,14,0,0,0,0,698.198,0,0
1,9,15,0,0,0,0,698.198,0,0
1,9,16,0,0,0,0,698.198,0,0
1,9,17,0,0,0,0,698.198,0,0
1,9,18,0,0,0,0,698.198,0,0
1,9,19,0,0,0,0,698.198,0,0
1,9,20,0,0,0,0,698.198,0,0
1,9,21,0,0,0,0,698.198,0,0
1,9,22,0,0,0,0,698.198,0,0
1,9,23,0,0,0,0,698.198,0,0
1,9,24,0,0,0,0,698.198,0,0
1,10,1,0,0,0,0,698.198,0,0
1,10,2,0,0,0,0,698.198,0,0
1,10,3,0,0,0,0,698.198,0,0
1,10,4,0,0,0,0,698.198,0,0
1,10,5,0,0,0,0,698.198,0,0
1,10,6,0,0,0,0,698.198,0,0
1,10,7,0,0,0,0,698.198,0,0
1,10,8,0,0,0,0,698.198,0,0
1,10,9,0,0,0,0,698.198,0,0
1,10,10,0,0,0,0,698.198,0,0
1,10,11,0,0,0,0,698.198,0,0
1,10,12,0,-5037.2,-5037.2,1.00706,698.198,-1476.32,0.0440448
1,10,13,0,-37198.6,-37198.6,7.43689,698.198,-10902.3,0.0440448
1,10,14,0,-56918.4,-56918.4,11.3793,698.198,-16681.8,0.0440448
1,10,15,0,-62901.6,-62901.6,12.5755,698.198,-18435.4,0.0440448
1,10,16,0,-61890.6,-61890.6,12.3734,698.198,-18139.1,0.0440448
1,10,17,0,-40813.5,-40813.5,8.15959,698.198,-11961.7,0.0440448
1,10,18,0,-9673.63,-9673.63,1.93399,698.198,-2835.18,0.0440448
1,10,19,0,0,0,0,698.198,0,0
1,10,20,0,0,0,0,698.198,0,0
1,10,21,0,0,0,0,698.198,0,0
1,10,22,0,0,0,0,698.198,0,0
1,10,23,0,0,0,0,698.198,0,0
1,10,24,0,0,0,0,698.198,0,0
1,11,1,0,0,0,0,698.198,0,0
1,11,2,0,0,0,0,698.198,0,0
1,11,3,0,0,0,0,698.198,0,0
1,11,4,0,0,0,0,698.198,0,0
1,11,5,0,0,0,0,698.198,0,0
1,11,6,0,0,0,0,698.198,0,0
1,11,7,0,0,0,0,698.198,0,0
1,11,8,0,0,0,0,698.198,0,0
1,11,9,0,0,0,0,698.198,0,0
1,11,10,0,0,0,0,698.198,0,0
1,11,11,0,0,0,0,698.198,0,0
1,11,12,0,0,0,0,698.198,0,0
1,11,13,0,0,0,0,698.198,0,0
1,11,14,0,0,0,0,698.198,0,0
1,11,15,0,0,0,0,698.198,0,0
1,11,16,0,0,0,0,698.198,0,0
1,11,17,0,0,0,0,698.198,0,0
1,11,18,0,0,0,0,698.198,0,0
1,11,19,0,0,0,0,698.198,0,0
1,11,20,0,0,0,0,698.198,0,0
1,11,21,0,-1904.47,-1904.47,0.38075,698.198,-558.169,0.0440448
1,11,22,0,0,0,0,698.198,0,0
1,11,23,0,0,0,0,698.198,0,0
1,11,24,0,0,0,0,698.198,0,0
1,12,1,0,0,0,0,698.198,0,0
1,12,2,0,0,0,0,698.198,0,0
1,12,3,0,0,0,0,698.198,0,0
