,,,,Nonres Site Electric Use,,,,,,,,,,,,,Nonres Site Natural Gas Use,,,,,,,,,,,,,Nonres Site Propane Use,,,,,,,,,,,,,Nonres LSC Multipliers,,,Nonres Source Energy Multipliers,,,Nonres CO2 Emissions Multipliers,,,Nonres Elec Demand,Building Wide,,,PV/Batt Mults (Res/NRes area weighted avg),,,,Residential Site Electric Use,,,,,,,,,,,,,Residential Site Natural Gas Use,,,,,,,,,,,,,Residential Site Propane Use,,,,,,,,,,,,,Res LSC Multipliers,,,Res Source Energy Multipliers,,,Res CO2 Emissions Multipliers,,,Res Elec Demand,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery,NEM3 LSC,LSC,Source Energy,CO2 Emis,Elec Demand,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh),(mult),($/kWh),(kBtu/kWh),(tonnes CO2-e/kWh),(frac),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),
1,1,9, 01/01 09,0.0139485,0,2.4625,0,0.377539,1.22096,1.50171,1.7613,0,0,0,5.57666,7.33797,222.516,0,0,0,0,0,0,0,0,0,0,222.516,222.516,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68693,626.966,894.518,2.68137,89.9626,100,0.000141871,0.0054633,0.006288,0,-87.3732,0,1.83612,6.59324,2.68137,0.000141871,0,1.47677,0,5.66201,0,1.63394,41.0135,7.8023,15.747,25.5024,2.52836,7.32383,57.5885,108.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76122,1269.81,1106.78,2.68137,89.9626,100,0.000141871,0.0060051,0.006288,0,
1,1,10, 01/01 10,0.00885766,0,1.23554,0,0.377539,1.4006,1.53498,1.7613,0,0,0,4.55752,6.31882,154.778,0,0,0,0,0,0,0,0,0,0,154.778,154.778,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68395,626.966,894.518,2.3791,89.9626,100,0.000125878,0.0054633,0.006288,0,-134.107,0,1.83385,6.59033,2.3791,0.000125878,0,0.952479,0,5.66201,0,0.038683,33.7802,7.8023,15.1699,38.9976,2.15654,7.32383,48.2357,111.884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75832,1269.81,1106.78,2.3791,89.9626,100,0.000125878,0.0060051,0.006288,0,
1,1,11, 01/01 11,0.00473292,0,1.23554,0,0.377539,2.96695,6.15297,7.0452,0,0,0,10.7377,17.7829,85.9047,0,0,0,0,0,0,0,0,0,0,85.9047,85.9047,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68678,626.966,894.518,2.83208,89.9626,100,0.000149846,0.0054633,0.006288,0,-163.31,38.0686,1.83601,6.5931,2.83208,0.000149846,0,0.451027,0,5.66203,0,0,7.37384,7.93725,15.4705,61.263,2.00781,7.32383,21.4242,107.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76108,1269.81,1106.78,2.83208,89.9626,100,0.000149846,0.0060051,0.006288,0,
1,1,12, 01/01 12,0.00313416,0,1.23554,0,0.377539,3.24261,6.16232,7.0452,0,0,0,11.0211,18.0663,56.8865,0,0,0,0,0,0,0,0,0,0,56.8865,56.8865,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69432,626.966,894.518,2.70532,89.9626,100,0.000143139,0.0054633,0.006288,0,-174.226,28.1835,1.84178,6.60047,2.70532,0.000143139,0,0.208356,0,5.66203,0,0,38.252,7.93725,15.2361,51.5327,1.85908,7.32383,52.0596,128.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76842,1269.81,1106.78,2.70532,89.9626,100,0.000143139,0.0060051,0.006288,0,
1,1,13, 01/01 13,0.000940736,0,1.23554,0,0.377539,3.59462,8.35248,10.5678,0,0,0,13.5611,24.1289,17.0748,0,0,0,0,0,0,0,0,0,0,17.0748,17.0748,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69056,626.966,894.518,2.82681,89.9626,100,0.000149566,0.0054633,0.006288,0,-169.427,45.8237,1.8389,6.59679,2.82681,0.000149566,0,0.0687217,0,5.66203,0,0,20.1912,8.17118,15.5726,40.9531,1.56163,7.32383,34.0932,99.5043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76476,1269.81,1106.78,2.82681,89.9626,100,0.000149566,0.0060051,0.006288,0,
1,1,14, 01/01 14,0.000302177,0,1.23554,0,0.283154,3.57594,8.20336,10.5678,0,0,0,13.2983,23.8661,5.48466,0,0,0,0,0,0,0,0,0,0,5.48466,5.48466,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69101,626.966,894.518,2.88089,89.9626,100,0.000152428,0.0054633,0.006288,0,-103.905,8.78918,1.83925,6.59724,2.88089,0.000152428,0,0.0461302,0,5.66206,0,0,0.848754,8.17118,16.0116,31.6475,1.56163,7.32383,14.7281,71.2727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7652,1269.81,1106.78,2.88089,89.9626,100,0.000152428,0.0060051,0.006288,0,
1,1,15, 01/01 15,0,0,1.23554,0,0,3.44299,8.32097,10.5678,0,0,0,12.9995,23.5673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69114,626.966,894.518,2.92757,89.9626,100,0.000154898,0.0054633,0.006288,0,-85.1941,0,1.83935,6.59736,2.92757,0.000154898,0,0.0291832,0,5.66206,0,0,15.8672,8.17118,16.7368,19.9572,1.56163,7.32383,29.7296,75.3091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76532,1269.81,1106.78,2.92757,89.9626,100,0.000154898,0.0060051,0.006288,0,
1,1,16, 01/01 16,0.000238228,0,1.23554,0,0.377539,3.50851,8.23629,10.5678,0,0,0,13.3581,23.9259,4.32395,0,0,0,0,0,0,0,0,0,0,4.32395,4.32395,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99593,626.966,894.518,3.29537,89.9626,100,0.000174358,0.0054633,0.006288,0,-52.1162,0,2.07264,6.89562,3.29537,0.000174358,0,0.0320243,0,5.66206,0,0,10.7004,8.17118,17.5396,16.6891,1.93345,7.32383,24.5656,68.0516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06237,1269.81,1106.78,3.29537,89.9626,100,0.000174358,0.0060051,0.006288,0,
1,1,17, 01/01 17,0.00113662,0,1.23554,0,0.377539,3.6476,9.10096,10.5678,0,0,0,14.3628,24.9306,20.6302,0,0,0,0,0,0,0,0,0,0,20.6302,20.6302,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29891,626.966,894.518,3.86875,89.9626,100,0.000204695,0.0054633,0.006288,0,-6.33147,0,2.30455,7.1921,3.86875,0.000204695,0,0.0734363,0,5.66206,0,0,11.6052,8.17118,19.5349,29.9526,2.30527,7.32383,25.5119,84.6285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35764,1269.81,1106.78,3.86875,89.9626,100,0.000204695,0.0060051,0.006288,0,
1,1,18, 01/01 18,0.00285808,0,1.23554,0,0.377539,3.44416,6.69294,7.0452,0,0,0,11.753,18.7982,51.8756,0,0,0,0,0,0,0,0,0,0,51.8756,51.8756,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35179,626.966,894.518,3.94448,89.9626,100,0.000208702,0.0054633,0.006288,0,0,0,2.34502,7.24384,3.94448,0.000208702,0,0.272663,0,5.66206,0,0,17.6533,8.10371,21.7804,38.2687,3.27199,7.32383,31.6918,102.337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.40918,1269.81,1106.78,3.94448,89.9626,100,0.000208702,0.0060051,0.006288,0,
