,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery,NEM3 LSC,
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh),(mult)
1,1,12, 01/01 12,0,0,0.240981,0,0,1.76591,0,1.33088,7.31147,0.171058,0,2.00689,10.8203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76842,1269.81,1106.78,2.70532,89.9626,100,0.000143139,0.0060051,0.006288,0,-9.75359,0,1.84178,
1,1,13, 01/01 13,0,0,0.240981,0,0,1.44019,0,1.31879,0.816972,0.143689,0,1.68117,3.96062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76476,1269.81,1106.78,2.82681,89.9626,100,0.000149566,0.0060051,0.006288,0,-9.48491,0,1.8389,
1,1,14, 01/01 14,0,0,0.240981,0,0,0.317791,0,1.35906,0.798618,0.143689,0,0.558772,2.86014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7652,1269.81,1106.78,2.88089,89.9626,100,0.000152428,0.0060051,0.006288,0,-5.81684,0,1.83925,
1,1,15, 01/01 15,0,0,0.240981,0,0,0,0,1.42556,0.809934,0.143689,0,0.240981,2.62016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76532,1269.81,1106.78,2.92757,89.9626,100,0.000154898,0.0060051,0.006288,0,-4.76937,0,1.83935,
1,1,16, 01/01 16,0,0,0.240981,0,0,0,0,1.49922,0.860122,0.177901,0,0.240981,2.77823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06237,1269.81,1106.78,3.29537,89.9626,100,0.000174358,0.0060051,0.006288,0,-2.91758,0,2.07264,
1,1,17, 01/01 17,0,0,0.240981,0,0,0.0519899,0,1.68241,0.986716,0.212113,0,0.292971,3.17421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35764,1269.81,1106.78,3.86875,89.9626,100,0.000204695,0.0060051,0.006288,0,-0.354451,0,2.30455,
1,1,18, 01/01 18,0,0,0.240981,0,0,0.45456,0,1.89695,1.30458,0.301063,0,0.695542,4.19813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.40918,1269.81,1106.78,3.94448,89.9626,100,0.000208702,0.0060051,0.006288,0,0,0,2.34502,
1,1,19, 01/01 19,0,0,0.240981,0,0,0.817883,0,2.03865,1.28333,0.574758,0,1.05886,4.95561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51492,1269.81,1106.78,4.16914,89.9626,100,0.000220589,0.0060051,0.006288,0,0,0,2.42807,
1,1,20, 01/01 20,0,0,0.240981,0,0,0.968555,0,2.11929,1.65254,0.800555,0,1.20954,5.78192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60367,1269.81,1106.78,4.37739,89.9626,100,0.000231608,0.0060051,0.006288,0,0,0,2.49777,
1,1,21, 01/01 21,0,0,0.240981,0,0,1.56012,0,2.19655,0.929222,0.773183,0,1.80111,5.70006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59307,1269.81,1106.78,4.33943,89.9626,100,0.000229599,0.0060051,0.006288,0,0,0,2.48944,
1,1,22, 01/01 22,0,0,0.240981,0,0,1.42588,0,2.17607,2.72745,0.656865,0,1.66686,7.22725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69524,1269.81,1106.78,4.51762,89.9626,100,0.000239027,0.0060051,0.006288,0,0,0,2.56969,
1,1,23, 01/01 23,0,0,0.240981,0,0,1.71552,0,1.94545,0.471107,0.431067,0,1.9565,4.80412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.37868,1269.81,1106.78,4.52964,89.9626,100,0.000239663,0.0060051,0.006288,0.000277533,0,0,3.10645,
1,1,24, 01/01 24,0,0,0.240981,0,0,1.27078,0,1.65907,0.456028,0.266851,0,1.51176,3.89371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.45012,1269.81,1106.78,4.53692,89.9626,100,0.000240048,0.0060051,0.006288,0.000718441,0,0,3.94794,
1,2,1, 01/02 01,0,0,0.240981,0,0.0727305,0.133868,0,1.35815,0.405359,0.157374,0,0.44758,2.36846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4923,1269.81,1106.78,8.44344,89.9626,100,0.000446742,0.0060051,0.006288,0.000518385,0,0,5.55184,
1,2,2, 01/02 02,0,0,0.240981,0,0.0727305,0,0,1.23878,0.390937,0.130004,0,0.313712,2.07344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5695,1269.81,1106.78,8.43068,89.9626,100,0.000446067,0.0060051,0.006288,0.000175212,0,0,4.8271,
1,2,3, 01/02 03,0,0,0.240981,0,0.0727305,0,0,1.19145,0.377626,0.102635,0,0.313712,1.98542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1615,1269.81,1106.78,8.07648,89.9626,100,0.000427327,0.0060051,0.006288,0.000173941,0,0,4.50669,
1,2,4, 01/02 04,0,0,0.240981,0,0.0727305,0,0,1.18438,0.371889,0.11632,0,0.313712,1.9863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86281,1269.81,1106.78,5.75461,89.9626,100,0.000304476,0.0060051,0.006288,0.000305397,0,0,3.48668,
1,2,5, 01/02 05,0,0,0.240981,0,0.0727305,0,0,1.12854,0.359855,0.143689,0,0.313712,1.9458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.47133,1269.81,1106.78,4.70149,89.9626,100,0.000248756,0.0060051,0.006288,0.000305397,0,0,3.17922,
1,2,6, 01/02 06,0,0,0.240981,0,0.0727305,0,0,1.22259,0.429173,0.212113,0,0.313712,2.17759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85023,1269.81,1106.78,5.73985,89.9626,100,0.000303695,0.0060051,0.006288,0.000305397,0,0,3.4768,
1,2,7, 01/02 07,0,0,0.240981,0,0.0727305,0,0,1.39369,0.507066,0.287378,0,0.313712,2.50185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6686,1269.81,1106.78,7.50866,89.9626,100,0.000397283,0.0060051,0.006288,0.000705071,0,0,4.90494,
1,2,8, 01/02 08,0,0,0.240981,0,0.0727305,0.326238,0,1.49912,0.585998,0.280536,0,0.63995,3.00561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.60515,1269.81,1106.78,6.16084,89.9626,100,0.00032597,0.0060051,0.006288,0.000176325,-0.0339399,0,3.28432,
1,2,9, 01/02 09,0.0438173,0,0.247253,0,0.0727305,1.17165,0,1.3898,0.577429,0.23264,0,1.53545,3.73533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49882,1269.81,1106.78,5.20798,89.9626,100,0.000275554,0.0060051,0.006288,0,-0.803526,0,2.41543,
1,2,10, 01/02 10,0.174008,0,0.26581,0,0,2.20176,0,1.30466,0.517287,0.198428,0,2.64158,4.66195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4775,1269.81,1106.78,5.20583,89.9626,100,0.00027544,0.0060051,0.006288,0,-0.852627,0,2.39868,
1,2,11, 01/02 11,0.163033,0,0.264095,0,0,2.22465,0,1.32012,1.26712,0.184743,0,2.65178,5.42376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47671,1269.81,1106.78,5.22056,89.9626,100,0.00027622,0.0060051,0.006288,0,-1.13928,0,2.39806,
1,2,12, 01/02 12,0.0449658,0,0.247342,0,0,1.50674,0,1.32012,1.75575,0.171058,0,1.79905,5.04598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47253,1269.81,1106.78,4.12507,89.9626,100,0.000218257,0.0060051,0.006288,0,-1.392,0,2.39477,
1,2,13, 01/02 13,0.129282,0,0.25935,0,0,0.824473,0,1.32217,0.812243,0.143689,0,1.2131,3.49121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46866,1269.81,1106.78,4.06489,89.9626,100,0.000215074,0.0060051,0.006288,0,-1.48072,0,2.39174,
