; Tables for Std model AutoHardSize capacity look-up rules
;,,,,,(Btu/hr),(Btu/hr),( gpm),
,"BaseSys5 CoilClg","DirectExpansion","BaseAirSys5","UNDEFINED",298611.327,311544.364,-99996.00000,-99996.000,9.800,2
,"BaseSys5 CoilClg-2","DirectExpansion","BaseAirSys5-2","UNDEFINED",289509.175,302047.993,-99996.00000,-99996.000,9.800,2
,"BaseSys7or3b CoilClg","DirectExpansion","BaseAirSys7or3b","n/a",54052.156,56393.188,-99996.00000,14.000,11.407,1
,"BaseSys7or3b CoilClg-2","DirectExpansion","BaseAirSys7or3b-2","n/a",54803.281,57176.845,-99996.00000,14.000,11.407,1
,"BaseSys7or3b CoilClg-3","DirectExpansion","BaseAirSys7or3b-3","n/a",15894.729,16583.139,-99996.00000,14.000,11.407,1
,"BaseSys7or3b CoilClg-4","DirectExpansion","BaseAirSys7or3b-4","n/a",48131.223,50215.815,-99996.00000,14.000,11.407,1
,"BaseSys7or3b CoilClg-5","DirectExpansion","BaseAirSys7or3b-5","n/a",41052.796,42830.817,-99996.00000,14.000,11.407,1
,"BaseSys7or3b CoilClg-6","DirectExpansion","BaseAirSys7or3b-6","n/a",26510.397,27658.578,-99996.00000,14.000,11.407,1
,"BaseSys7or3b CoilClg-7","DirectExpansion","BaseAirSys7or3b-7","n/a",59153.935,61715.927,-99996.00000,14.000,11.407,1
,"BaseSys7or3b CoilClg-8","DirectExpansion","BaseAirSys7or3b-8","n/a",26419.779,27564.036,-99996.00000,14.000,11.407,1
,"BaseSys7or3b CoilClg-9","DirectExpansion","BaseAirSys7or3b-9","n/a",46341.580,48348.662,-99996.00000,14.000,11.407,1
,"BaseSys7or3b CoilClg-10","DirectExpansion","BaseAirSys7or3b-10","n/a",9690.932,10110.652,-99996.00000,14.000,11.407,1
,"BaseSys7or3b CoilClg-11","DirectExpansion","BaseAirSys7or3b-11","n/a",16126.341,16824.782,-99996.00000,14.000,11.407,1
,"BaseSys7or3b CoilClg-12","DirectExpansion","BaseAirSys7or3b-12","n/a",33651.377,35108.839,-99996.00000,14.000,11.407,1
,"BaseSys7or3b CoilClg-13","DirectExpansion","BaseAirSys7or3b-13","n/a",55179.819,57569.691,-99996.00000,14.000,11.407,1
,"BaseSys7or3b CoilClg-14","DirectExpansion","BaseAirSys7or3b-14","n/a",63525.357,66276.678,-99996.00000,14.000,11.407,1
,"BaseSys7or3b CoilClg-15","DirectExpansion","BaseAirSys7or3b-15","n/a",2872.257,2996.656,-99996.00000,14.000,11.407,1
,"BaseSys11 CoilClg","DirectExpansion","BaseAirSys11","n/a",19902.852,21364.022,-99996.00000,-99996.000,-99996.000,1
,"BaseSys11 CoilClg-2","DirectExpansion","BaseAirSys11-2","n/a",20668.117,22185.471,-99996.00000,-99996.000,-99996.000,1
,"BaseSys7or3b CoilClg-16","DirectExpansion","BaseAirSys7or3b-16","n/a",23559.191,24579.554,-99996.00000,14.000,11.407,1
,"BaseSys7or3b CoilClg-17","DirectExpansion","BaseAirSys7or3b-17","n/a",19828.438,20687.220,-99996.00000,14.000,11.407,1
,"BaseSys7or3b CoilClg-18","DirectExpansion","BaseAirSys7or3b-18","n/a",15007.506,15657.490,-99996.00000,14.000,11.407,1
,"BaseSys7or3b CoilClg-19","DirectExpansion","BaseAirSys7or3b-19","n/a",35793.408,37343.643,-99996.00000,14.000,11.407,1
ENDTABLE
TABLE EX06_NR_Class-Lab-DOAS-FPFC25CoilHtg
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,
;,,,,,(Btu/hr),(Btu/hr),( gpm),
,"BaseSys5 CoilHtg","HotWater","BaseAirSys5","UNDEFINED",97588.388,97588.388,7.80411,-99996.000,-99996.000
,"BaseSys5 CoilHtg-2","HotWater","BaseAirSys5-2","UNDEFINED",94613.725,94613.725,7.56622,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg","HeatPump","BaseAirSys7or3b","n/a",58734.220,56393.188,0.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-2","HeatPump","BaseAirSys7or3b-2","n/a",59550.408,57176.845,0.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-3","HeatPump","BaseAirSys7or3b-3","n/a",17271.549,16583.139,0.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-4","HeatPump","BaseAirSys7or3b-4","n/a",52300.408,50215.815,0.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-5","HeatPump","BaseAirSys7or3b-5","n/a",44608.839,42830.817,0.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-6","HeatPump","BaseAirSys7or3b-6","n/a",28806.760,27658.578,0.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-7","HeatPump","BaseAirSys7or3b-7","n/a",64277.920,61715.927,0.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-8","HeatPump","BaseAirSys7or3b-8","n/a",28708.293,27564.036,0.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-9","HeatPump","BaseAirSys7or3b-9","n/a",50355.744,48348.662,0.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-10","HeatPump","BaseAirSys7or3b-10","n/a",10530.373,10110.652,0.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-11","HeatPump","BaseAirSys7or3b-11","n/a",17523.224,16824.782,0.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-12","HeatPump","BaseAirSys7or3b-12","n/a",36566.300,35108.839,0.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-13","HeatPump","BaseAirSys7or3b-13","n/a",59959.562,57569.691,0.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-14","HeatPump","BaseAirSys7or3b-14","n/a",69028.000,66276.678,0.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-15","HeatPump","BaseAirSys7or3b-15","n/a",3121.055,2996.656,0.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-16","HeatPump","BaseAirSys7or3b-16","n/a",25599.916,24579.554,0.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-17","HeatPump","BaseAirSys7or3b-17","n/a",21546.002,20687.220,0.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-18","HeatPump","BaseAirSys7or3b-18","n/a",16307.474,15657.490,0.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-19","HeatPump","BaseAirSys7or3b-19","n/a",38893.877,37343.643,0.00000,-99996.000,-99996.000
,"BaseVAVBox CoilHtg","HotWater","BaseAirSys5","L1_ZN03_South Open Office",30407.725,30407.725,2.43169,-99996.000,-99996.000
,"BaseVAVBox CoilHtg-2","HotWater","BaseAirSys5","L1_ZN02 Core_Open Office",65175.175,65175.175,5.21203,-99996.000,-99996.000
,"BaseVAVBox CoilHtg-3","HotWater","BaseAirSys5-2","L2_ZN03_South Open Office",57690.438,57690.438,4.61348,-99996.000,-99996.000
,"BaseVAVBox CoilHtg-4","HotWater","BaseAirSys5-2","L2_ZN05_Core Open Office Cor",71968.700,71968.700,5.75531,-99996.000,-99996.000
,"BaseVAVBox CoilHtg-5","HotWater","BaseAirSys5","L1_ZN14_Core Open Office",41453.375,41453.375,3.31501,-99996.000,-99996.000
,"BaseVAVBox CoilHtg-6","HotWater","BaseAirSys5","L1_ZN01_SE_Open Office",22401.512,22401.512,1.79144,-99996.000,-99996.000
,"BaseSys7or3b SuppCoilHtg","Resistance","BaseAirSys7or3b","n/a",46964.963,46964.963,0.00000,-99996.000,-99996.000
,"BaseSys7or3b SuppCoilHtg-2","Resistance","BaseAirSys7or3b-2","n/a",48530.875,48530.875,0.00000,-99996.000,-99996.000
,"BaseSys7or3b SuppCoilHtg-3","Resistance","BaseAirSys7or3b-3","n/a",15433.375,15433.375,0.00000,-99996.000,-99996.000
,"BaseSys7or3b SuppCoilHtg-4","Resistance","BaseAirSys7or3b-4","n/a",39023.775,39023.775,0.00000,-99996.000,-99996.000
,"BaseSys7or3b SuppCoilHtg-5","Resistance","BaseAirSys7or3b-5","n/a",33717.900,33717.900,0.00000,-99996.000,-99996.000
,"BaseSys7or3b SuppCoilHtg-6","Resistance","BaseAirSys7or3b-6","n/a",22089.763,22089.763,0.00000,-99996.000,-99996.000
,"BaseSys7or3b SuppCoilHtg-7","Resistance","BaseAirSys7or3b-7","n/a",42563.563,42563.563,0.00000,-99996.000,-99996.000
,"BaseSys7or3b SuppCoilHtg-8","Resistance","BaseAirSys7or3b-8","n/a",19952.225,19952.225,0.00000,-99996.000,-99996.000
