,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery,NEM3 LSC,
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh),(mult)
1,1,11, 01/01 11,0.00521326,0.832012,8.03624,0,0.0060297,0,3.01998,38.6058,2.05188,0.0279209,0,11.8995,52.5851,0,0,0,0,0,0,0,0,0,0,0,0,0,86.3272,0,0,0,0,0,0,0,0,0,0,86.3272,86.3272,5.68678,626.966,894.518,2.83208,89.9626,100,0.000149846,0.0054633,0.006288,0,-38.5679,0,1.83601,
1,1,12, 01/01 12,0.00480446,1.85451,8.48499,0,0.00566216,0,2.99038,38.6058,2.05188,0.0279209,0,13.3404,54.0259,0,0,0,0,0,0,0,0,0,0,0,0,0,80.8526,0,0,0,0,0,0,0,0,0,0,80.8526,80.8526,5.69432,626.966,894.518,2.70532,89.9626,100,0.000143139,0.0054633,0.006288,0,-41.1457,0,1.84178,
1,1,13, 01/01 13,0.00453933,2.38785,10.5316,0,0.00546557,0,1.40477,38.6058,2.05188,0.0279209,0,14.3342,55.0198,0,0,0,0,0,0,0,0,0,0,0,0,0,77.2354,0,0,0,0,0,0,0,0,0,0,77.2354,77.2354,5.69056,626.966,894.518,2.82681,89.9626,100,0.000149566,0.0054633,0.006288,0,-40.0121,0,1.8389,
1,1,14, 01/01 14,0.00541236,2.74762,10.4861,0,0.00619755,0,1.37898,13.9151,2.05188,0.0279209,0,14.6243,30.6192,0,0,0,0,0,0,0,0,0,0,0,0,0,88.957,0,0,0,0,0,0,0,0,0,0,88.957,88.957,5.69101,626.966,894.518,2.88089,89.9626,100,0.000152428,0.0054633,0.006288,0,-24.5384,0,1.83925,
1,1,15, 01/01 15,0.00540246,2.95007,9.49088,0,0.00621637,0,1.51275,13.9151,2.05188,0.0284099,0,13.9653,29.9607,0,0,0,0,0,0,0,0,0,0,0,0,0,88.8271,0,0,0,0,0,0,0,0,0,0,88.8271,88.8271,5.69114,626.966,894.518,2.92757,89.9626,100,0.000154898,0.0054633,0.006288,0,-20.1197,0,1.83935,
1,1,16, 01/01 16,0.00536546,2.70051,8.72602,0,0.00617879,0,1.48466,13.9151,2.05188,0.0338554,0,12.9227,28.9236,0,0,0,0,0,0,0,0,0,0,0,0,0,88.3408,0,0,0,0,0,0,0,0,0,0,88.3408,88.3408,5.99593,626.966,894.518,3.29537,89.9626,100,0.000174358,0.0054633,0.006288,0,-12.3079,0,2.07264,
1,1,17, 01/01 17,0.0056349,1.79115,8.33267,0,0.00647707,0,1.87166,13.9151,2.05188,0.0449056,0,12.0076,28.0195,0,0,0,0,0,0,0,0,0,0,0,0,0,91.8578,0,0,0,0,0,0,0,0,0,0,91.8578,91.8578,6.29891,626.966,894.518,3.86875,89.9626,100,0.000204695,0.0054633,0.006288,0,-1.49526,0,2.30455,
1,1,18, 01/01 18,0.00601436,0.528341,7.87145,0,0.00698933,0,1.21369,13.9151,2.05188,0.0476204,0,9.62648,25.6411,0,0,0,0,0,0,0,0,0,0,0,0,0,96.7424,0,0,0,0,0,0,0,0,0,0,96.7424,96.7424,6.35179,626.966,894.518,3.94448,89.9626,100,0.000208702,0.0054633,0.006288,0,0,0,2.34502,
1,1,19, 01/01 19,0.142144,0.191335,7.87145,0,0.00889409,0,1.21369,1.56975,2.05188,0.0476204,0,9.42751,13.0968,0,0,0,0,0,0,0,0,0,0,0,0,0,111.996,0,0,0,0,0,0,0,0,0,0,111.996,111.996,6.46029,626.966,894.518,4.16914,89.9626,100,0.000220589,0.0054633,0.006288,0,0,0,2.42807,
1,1,20, 01/01 20,0.547407,0.205873,7.87145,0,0.00989725,0,1.21369,1.56975,2.05188,0.0476204,0,9.84832,13.5176,0,0,0,0,0,0,0,0,0,0,0,0,0,118.537,0,0,0,0,0,0,0,0,0,0,118.537,118.537,6.55135,626.966,894.518,4.37739,89.9626,100,0.000231608,0.0054633,0.006288,0,0,0,2.49777,
