,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery,NEM3 LSC,
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh),(mult)
1,1,12, 01/01 12,3.03764,0.183184,6.52967,0,0.0706679,0,2.9884,38.6058,2.05188,0.0279209,0,12.8096,53.4951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69432,626.966,894.518,2.70532,89.9626,100,0.000143139,0.0054633,0.006288,0,-41.1477,0,1.84178,
1,1,13, 01/01 13,2.79177,0.462549,6.72585,0,0.11945,0,1.40476,38.6058,2.05188,0.0279209,0,11.5044,52.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69056,626.966,894.518,2.82681,89.9626,100,0.000149566,0.0054633,0.006288,0,-40.0144,0,1.8389,
1,1,14, 01/01 14,4.01377,1.05073,6.51627,0,0.135557,0,1.3786,13.9151,2.05188,0.0279209,0,13.0949,29.0898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69101,626.966,894.518,2.88089,89.9626,100,0.000152428,0.0054633,0.006288,0,-24.5397,0,1.83925,
1,1,15, 01/01 15,4.14022,1.45367,6.39785,0,0.136108,0,1.51155,13.9151,2.05188,0.0285963,0,13.6394,29.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69114,626.966,894.518,2.92757,89.9626,100,0.000154898,0.0054633,0.006288,0,-20.1207,0,1.83935,
1,1,16, 01/01 16,4.15309,0.979524,6.3344,0,0.135018,0,1.48401,13.9151,2.05188,0.0340657,0,13.086,29.0871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99593,626.966,894.518,3.29537,89.9626,100,0.000174358,0.0054633,0.006288,0,-12.3085,0,2.07264,
1,1,17, 01/01 17,4.74192,0.144258,6.35975,0,0.0648564,0,1.87155,13.9151,2.05188,0.044929,0,13.1823,29.1942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29891,626.966,894.518,3.86875,89.9626,100,0.000204695,0.0054633,0.006288,0,-1.49533,0,2.30455,
1,1,18, 01/01 18,5.61161,0.128049,6.35819,0,0.0657594,0,1.21369,13.9151,2.05188,0.0476204,0,13.3773,29.3919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35179,626.966,894.518,3.94448,89.9626,100,0.000208702,0.0054633,0.006288,0,0,0,2.34502,
1,1,19, 01/01 19,8.02593,0.142153,6.3789,0,0.0704692,0,1.21369,1.56975,2.05188,0.0476204,0,15.8311,19.5004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46029,626.966,894.518,4.16914,89.9626,100,0.000220589,0.0054633,0.006288,0,0,0,2.42807,
1,1,20, 01/01 20,10.37,0.219919,6.42465,0,0.0743278,0,1.21369,1.56975,2.05188,0.0476204,0,18.3026,21.9718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55135,626.966,894.518,4.37739,89.9626,100,0.000231608,0.0054633,0.006288,0,0,0,2.49777,
1,1,21, 01/01 21,10.8858,0.212352,6.4489,0,0.0765779,0,1.20844,1.56975,2.05188,0.0476204,0,18.8321,22.5014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54047,626.966,894.518,4.33943,89.9626,100,0.000229599,0.0054633,0.006288,0,0,0,2.48944,
1,1,22, 01/01 22,9.9025,0.093859,6.58849,0,0.0777256,0,1.20844,1.56975,2.05188,0.0476204,0,17.871,21.5403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64531,626.966,894.518,4.51762,89.9626,100,0.000239027,0.0054633,0.006288,0,0,0,2.56969,
1,1,23, 01/01 23,11.766,0.11817,6.88505,0,0.0848431,0,1.20844,1.56975,2.05188,0.0476204,0,20.0625,23.7318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34658,626.966,894.518,4.52964,89.9626,100,0.000239663,0.0054633,0.006288,0.000277533,0,0,3.10645,
1,1,24, 01/01 24,13.8206,0.200664,6.97094,0,0.0907345,0,1.20844,1.56975,2.05188,0.0476204,0,22.2913,25.9606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.44597,626.966,894.518,4.53692,89.9626,100,0.000240048,0.0054633,0.006288,0.000718441,0,0,3.94794,
1,2,1, 01/02 01,12.8102,0.195902,6.90604,0,0.0767493,0,1.94125,4.82671,2.05188,0.0476204,0,21.9302,28.8564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5414,626.966,894.518,8.44344,89.9626,100,0.000446742,0.0054633,0.006288,0.000518385,0,0,5.55184,
1,2,2, 01/02 02,11.8926,0.195465,6.87172,0,0.0740006,0,1.94125,4.82671,2.05188,0.0476204,0,20.9751,27.9013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59457,626.966,894.518,8.43068,89.9626,100,0.000446067,0.0054633,0.006288,0.000175212,0,0,4.8271,
