AirSystems
,,,,,Cooling,,,,Heating,,,Fan/Ventilation,,,Controls
Name,Type,Status,System Count,Floor Area Served,Net Capacity,Design Supply T,Capacity/Area,Supply Flow/Ton,Net Capacity,Design Supply T,Capacity/Area,Supply Flow,Supply Flow/Area,Design OA,OA/Area,Control Zone Name,Temp Control,FixedT,Supply HiT,At Outdoor,Supply LowT,At OutdoorT,ReheatCtrlMthd,Availability Schedule,Night Cycle Control
,,,(#),(ft2),(Btu/hr),(degF),(Btu/ft2),(cfm/ton),(Btu/hr),(degF),(Btu/ft2),(cfm),(cfm/ft2),(cfm),(cfm/ft2),,,(degF),(degF),(degF),(degF),( degF),,,
"BaseSys5 F1","PVAV","New",1,17613,499173,55,28.3412,401.649,441930,60,25.0911,16707.7,0.9486,4491.31,0.255,"NONE","WarmestReset",,60,,55,,"DualMaximum","RetailHVACAvail","CycleOnCallAnyZone"
"F1 Business Cent AirSys","SZHP","New",1,360,11873.8,58,32.9829,292.127,12902.4,95,35.8399,289.056,0.802933,178.2,0.495,"F1 Business Center","NoSATControl",,-99996,,-99996,,"UNDEFINED","AllOnHVACAvail","CycleOnCallPrimaryZone"
"F1 Corridor AirSys","SZHP","New",1,1464,15751.5,58,10.7592,292.127,17115.9,95,11.6912,383.453,0.261921,219.6,0.15,"F1 Corridor","NoSATControl",,-99996,,-99996,,"UNDEFINED","AllOnHVACAvail","CycleOnCallPrimaryZone"
"F1 Fitness Cente AirSys","SZHP","New",1,900,14978.4,58,16.6427,292.127,16275.8,95,18.0843,364.633,0.405148,135,0.15,"F1 Fitness Center","NoSATControl",,-99996,,-99996,,"UNDEFINED","AllOnHVACAvail","CycleOnCallPrimaryZone"
"F1 Leasing Offic AirSys","SZHP","New",1,414,9201.32,58,22.2254,322.98,9998.35,95,24.1506,247.654,0.598197,62.1,0.15,"F1 Leasing Office","NoSATControl",,-99996,,-99996,,"UNDEFINED","AllOnHVACAvail","CycleOnCallPrimaryZone"
"F1 Lobby AirSys","SZHP","New",1,1050,14364.2,58,13.6802,292.127,15608.4,95,14.8652,349.68,0.333029,157.5,0.15,"F1 Lobby","NoSATControl",,-99996,,-99996,,"UNDEFINED","AllOnHVACAvail","CycleOnCallPrimaryZone"
"F1 Stairs E AirSys","SZHP","New",1,180,4206.74,58,23.3708,292.127,4571.13,95,25.3952,102.409,0.568936,27,0.15,"F1 Stairs E","NoSATControl",,-99996,,-99996,,"UNDEFINED","AllOnHVACAvail","CycleOnCallPrimaryZone"
"F1 Stairs W AirSys","SZHP","New",1,180,4644.26,58,25.8014,292.127,5046.55,95,28.0364,113.059,0.628108,27,0.15,"F1 Stairs W","NoSATControl",,-99996,,-99996,,"UNDEFINED","AllOnHVACAvail","CycleOnCallPrimaryZone"
"F2 Corridor AirSys","SZHP","New",1,2340,16581.1,58,7.08596,292.127,18017.4,95,7.69975,403.65,0.1725,351,0.15,"F2 Corridor","NoSATControl",,-99996,,-99996,,"UNDEFINED","AllOnHVACAvail","CycleOnCallPrimaryZone"
