,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery,NEM3 LSC,
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh),(mult)
1,1,10, 01/01 10,0,0.0411233,2.21114,0,0,0,0.612466,1.25046,1.54182,0,0,2.86472,5.657,52.514,0,0,0,0,0,0,20.2518,0,0,0,52.514,72.7657,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68395,626.966,894.518,2.3791,89.9626,100,0.000125878,0.0054633,0.006288,0,-11.8717,0,1.83385,
1,1,11, 01/01 11,0,0,2.21114,0,0,0,0.884672,1.75064,1.54182,0,0,3.09581,6.38827,37.6353,0,0,0,0,11.519,0,36.4532,0,0,0,49.1543,85.6074,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68678,626.966,894.518,2.83208,89.9626,100,0.000149846,0.0054633,0.006288,0,-14.457,0,1.83601,
1,1,12, 01/01 12,0,0,2.21114,0,0,0,0.884672,1.75064,1.54182,0,0,3.09581,6.38827,28.3312,0,0,0,0,10.0779,0,36.4532,0,0,0,38.4091,74.8623,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69432,626.966,894.518,2.70532,89.9626,100,0.000143139,0.0054633,0.006288,0,-15.4233,0,1.84178,
1,1,13, 01/01 13,0,0,2.21114,0,0,0,0.884672,1.75064,1.54182,0,0,3.09581,6.38827,24.7494,0,0,0,0,9.41747,0,36.4532,0,0,0,34.1669,70.6201,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69056,626.966,894.518,2.82681,89.9626,100,0.000149566,0.0054633,0.006288,0,-14.9984,0,1.8389,
1,1,14, 01/01 14,0,0,2.21114,0,0,0,0.884672,1.75064,1.54182,0,0,3.09581,6.38827,20.0699,0,0,0,0,8.29136,0,36.4532,0,0,0,28.3613,64.8145,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69101,626.966,894.518,2.88089,89.9626,100,0.000152428,0.0054633,0.006288,0,-9.19815,0,1.83925,
1,1,15, 01/01 15,0,0,2.21114,0,0,0,0.884672,1.75064,1.54182,0,0,3.09581,6.38827,17.8859,0,0,0,0,6.46187,0,30.3776,0,0,0,24.3477,54.7254,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69114,626.966,894.518,2.92757,89.9626,100,0.000154898,0.0054633,0.006288,0,-7.54176,0,1.83935,
1,1,16, 01/01 16,0,0,2.21114,0,0,0,0.884672,1.75064,1.54182,0,0,3.09581,6.38827,19.9786,0,0,0,0,6.46201,0,30.3776,0,0,0,26.4406,56.8182,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99593,626.966,894.518,3.29537,89.9626,100,0.000174358,0.0054633,0.006288,0,-4.61355,0,2.07264,
1,1,17, 01/01 17,0,0,2.21114,0,0,0,0.892652,1.50055,1.54182,0,0,3.10379,6.14616,28.1453,0,0,0,0,6.46237,0,30.3776,0,0,0,34.6076,64.9853,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29891,626.966,894.518,3.86875,89.9626,100,0.000204695,0.0054633,0.006288,0,-0.560491,0,2.30455,
1,1,18, 01/01 18,0,0,2.21114,0,0,0,0.962855,1.50055,1.54182,0,0,3.17399,6.21636,37.8619,0,0,0,0,9.5356,0,36.4532,0,0,0,47.3975,83.8507,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35179,626.966,894.518,3.94448,89.9626,100,0.000208702,0.0054633,0.006288,0,0,0,2.34502,
1,1,19, 01/01 19,0,0.0205617,2.21114,0,0,0,0.962855,1.50055,1.54182,0,0,3.19455,6.23692,46.3129,0,0,0,0,10.0791,0,36.4532,0,0,0,56.392,92.8452,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46029,626.966,894.518,4.16914,89.9626,100,0.000220589,0.0054633,0.006288,0,0,0,2.42807,
