"E+ Electric Use (kWh) - BEMCmpMgr 2025.3.0-RC (1083)",1
"Wed 23-Sep-26  01:37:21 pm"
"EplusElecUse",Hour
"EplusTotalKWH"
67.6701
47.9419
46.8815
47.5063
47.1999
66.2243
61.0889
82.8319
114.508
117.331
123.949
145.749
123.725
94.3226
97.7086
91.1132
108.328
119.836
131.059
101.979
95.6091
84.2953
66.1939
74.1571
48.631
47.7985
47.0921
48.7347
48.7696
62.1195
74.9619
103.806
112.974
121.48
140.445
107.088
108.348
103.167
96.3008
104.462
119.017
116.215
125.885
124.247
131.256
105.523
91.5339
64.101
68.7047
50.0053
49.6509
50.1641
60.5177
67.0128
56.7375
85.1085
97.291
128.953
146.678
129.069
128.094
121.695
125.692
112.738
103.089
126.173
148.546
107.114
99.0318
104.122
82.0804
65.9356
51.4268
50.0554
50.6402
67.1805
60.7314
54.351
71.5587
76.5017
91.7895
120.766
124.604
114.631
129.324
112.334
111.502
100.166
107.318
104.921
120.367
101.374
92.6995
83.2405
63.056
56.4949
64.5646
48.3219
48.3921
49.7163
49.4762
57.387
91.5564
99.4087
109.606
124.467
140.834
131.844
136.761
93.6664
114.157
116.064
125.374
123.987
113.113
121.097
114.826
86.2572
79.4281
58.443
67.6888
44.7687
43.676
44.0609
42.7993
49.6259
72.8408
96.7838
117.387
123.012
131.406
129.346
128.227
94.4867
111.773
116.539
117.153
118.597
118.738
127.51
126.189
92.5377
87.9188
64.07
55.4863
43.9507
55.5684
45.055
42.757
44.0178
76.165
89.4445
100.288
106.419
116.055
115.077
107.305
93.1824
113.359
113.764
104.593
121.022
117.567
121.861
114.876
80.8677
75.7136
51.3777
47.2139
44.9288
57.818
45.4099
46.5394
44.6676
74.318
96.2706
120.173
119.949
119.54
125.17
111.585
87.9047
104.965
95.4971
118.388
105.676
115.905
125.307
123.607
86.822
61.7605
69.0962
54.8273
44.7704
43.6111
43.7655
43.3528
58.6259
71.7644
107.347
121.461
136.719
124.318
120.847
129.942
88.0009
106.627
109.96
109.071
121.956
123.906
124.416
128.099
92.9693
89.8015
81.8571
51.4695
47.0731
46.7836
47.6875
66.6158
47.8908
54.4864
84.8829
94.998
132.257
132.793
139.757
147.78
116.969
123.064
115.036
125.025
129.431
136.685
116.034
104.961
92.5122
79.4798
64.7132
48.6873
44.6566
43.8615
58.3296
52.5816
46.5364
47.9704
69.5574
72.5872
96.3827
106.097
111.908
122.845
104.15
115.471
100.647
92.5772
107.57
113.352
102.782
78.2449
88.7535
75.2716
59.7533
47.9055
44.7474
43.6946
44.5927
57.6731
46.1524
75.2946
106.397
107.234
122.32
128.622
122.652
124.261
101.276
114.903
99.1035
122.726
129.234
130.953
124.986
121.564
95.9702
82.6912
67.0585
52.1302
57.7427
44.4133
43.6441
43.4068
53.1804
72.7065
98.8404
107.337
124.409
127.868
114.635
109.929
121.465
117.139
104.341
126.135
113.795
122.617
129.249
114.513
87.2035
89.6586
59.7616
64.6458
44.8712
44.3961
44.6935
43.6738
57.0581
75.0555
96.4648
99.9932
130.815
126.217
128.001
119.555
123.529
123.775
115.957
136.422
133.52
125.828
122.607
113.655
96.9724
90.1013
55.562
63.8649
44.7457
44.9128
44.8359
44.2994
57.2698
66.0597
84.284
106.805
120.603
126.611
116.724
128.52
124.439
129.426
119.45
135.453
118.301
129.61
122.999
121.708
77.1092
79.8008
56.3419
60.908
44.2907
43.0312
48.2691
43.2628
56.3726
63.6496
98.4231
102.394
121.478
127.695
121.528
135.342
119.349
115.25
122.628
132.339
119.332
126.806
126.421
116.11
89.5101
78.2943
61.833
47.2977
49.1828
52.844
44.9704
48.7947
44.7281
62.9998
65.9202
95.4109
131.156
143.291
150.607
161.089
143.021
146.043
137.719
139.445
140.689
137.011
122.147
116.776
94.5829
70.857
55.0541
60.642
44.1509
45.0273
44.5956
49.3535
44.3877
64.3147
82.6054
96.6283
109.041
125.194
111.423
115.931
132.291
115.99
117.968
116.74
111.231
104.958
85.2203
80.8585
83.6145
73.2324
57.185
49.9286
44.4921
43.2895
43.3973
57.3096
43.5169
62.6108
74.5145
110.572
112.358
107.059
128.299
128.596
115.046
87.7756
109.57
118.29
121.664
116.08
97.0318
97.0169
80.4076
61.8477
69.0123
45.2207
43.9237
42.9161
44.0694
43.2891
62.5026
71.5867
96.9072
105.009
123.116
126.958
126.222
143.502
110.347
123.91
124.814
125.131
132.164
121.175
124.288
119.093
95.4176
74.1074
75.8245
46.9405
44.6269
